********************************************************************************
Field Output Report, written Tue Nov 29 15:46:59 2016

Source 1
---------

   ODB: C:/Software/SIMULIA/Temp/importrolling/importrolling_roll_flat.odb
   Step: Step-4
   Frame: Increment     13584: Step Time =   2.5001E-02

Loc 1 : Nodal values at CSHEARF  STREAD/SROAD from source 1

Output sorted by column "CSHEARF  STREAD/SROAD.FORCE1".

Field Output reported at nodes for part: PART-1-1

            Node  CSHEARF  STREAD/SROAD.Magnitude  CSHEARF  STREAD/SROAD.FORCE1  CSHEARF  STREAD/SROAD.FORCE2  CSHEARF  STREAD/SROAD.FORCE3
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1
--------------------------------------------------------------------------------------------------------------------------------------------
           14555         154.207        -153.920        -9.41384              0.
          115550         137.930        -137.205        -14.1240              0.
           14550         126.168        -125.130        -16.1459              0.
          115545         76.6418        -75.9695         10.1293              0.
           14545         74.0956        -67.5694        -30.4062              0.
          115540         37.5059        -37.2163        -4.65204              0.
           14055         35.1630        -35.1613     343.372E-03              0.
          116040         38.6507        -32.5121         20.9006              0.
          116050         63.4585        -32.3513         54.5928              0.
           14050         65.2994        -24.2516        -60.6290              0.
           14040         41.5681        -18.5898        -37.1796              0.
           14540         16.7088        -15.6940        -5.73433              0.
           13540         23.2354        -13.9412        -18.5883              0.
          116540         19.7011        -13.9308         13.9308              0.
          116045         95.6414        -6.81417         95.3984              0.
            1031              0.              0.              0.              0.
            1035              0.              0.              0.              0.
            1040              0.              0.              0.              0.
            1045              0.              0.              0.              0.
            1050              0.              0.              0.              0.
            1055              0.              0.              0.              0.
            1527              0.              0.              0.              0.
            1531              0.              0.              0.              0.
            1535              0.              0.              0.              0.
            1540              0.              0.              0.              0.
            1545              0.              0.              0.              0.
            1550              0.              0.              0.              0.
            1555              0.              0.              0.              0.
            2027              0.              0.              0.              0.
            2031              0.              0.              0.              0.
            2035              0.              0.              0.              0.
            2040              0.              0.              0.              0.
            2045              0.              0.              0.              0.
            2050              0.              0.              0.              0.
            2055              0.              0.              0.              0.
            2527              0.              0.              0.              0.
